model,reasoning,intelligence_index,time_per_intelligence_index_task_seconds,cost_per_intelligence_index_task_usd,median_end_to_end_response_time_seconds,artificial_analysis_coding_index,artificial_analysis_agentic_index,benchmark:SWE-Bench Verified,benchmark:SWE-Bench Pro,benchmark:SWE-Bench Multilingual,benchmark:SWE-Bench Multimodal,benchmark:DeepSWE,benchmark:Terminal-Bench,benchmark:Terminal-Bench Hard,benchmark:Aider Polyglot,benchmark:SciCode,benchmark:SWE-Atlas Codebase QnA,benchmark:SWE-Atlas Test Writing,benchmark:SWE-Atlas Refactoring,benchmark:FrontierCode,benchmark:FrontierSWE,benchmark:NL2Repo,benchmark:Program Bench,benchmark:SWE Marathon,benchmark:LiveCodeBench,benchmark:LiveCodeBench Pro,benchmark:MCP Atlas,benchmark:Artificial Analysis Coding Index,benchmark:Artificial Analysis Coding Agent Index,benchmark:Toolathlon,benchmark:AutomationBench
Claude Opus 4.6,medium,,,,,,,,11.8,,,,70.2,,,,71.9,36.7,35.6,,,,,,,,,,51.3,,
Claude Opus 4.6,high,,,,,,,,51.9,,,,,,,,33.3,36.7,35.6,,,,,,,,,,,,
Claude Opus 4.6,max,,,,,,,,51.9,,,,,,,,33.3,36.7,35.6,,,,,,,,,,,,
Claude Opus 4.7,low,,,,,,,,64.3,,,,66.1,,,,,,48.6,,,,,,,,,,,,
Claude Opus 4.7,medium,,,,,,,,36.4,,,,71.4,,,,71.7,,48.6,,,,,,,,,,59.9,,
Claude Opus 4.7,high,,,,,,,,64.3,,,,66.1,,,,,,48.6,,,,,,,,,,,,
Claude Opus 4.7,xhigh,,,,,,,,64.3,,,,66.1,,,,,,48.6,,,,,,,,,,,,
Claude Opus 4.7,max,55.0,,2.23,26,73.6,46.3,,44.9,,,,73.8,,,,81.0,,48.6,,,,,,,,,,66.6,,
Claude Opus 4.8,low,,,,,,,88.6,69.2,,,,74.6,,,,,,,,,,,,,,,,,,
Claude Opus 4.8,medium,,,,,,,88.6,69.2,,,,74.6,,,,,,,,,,,,,,,,,,
Claude Opus 4.8,high,,,,,,,88.6,69.2,,,,74.6,,,,,,,13.4,,,,,,,,,,,
Claude Opus 4.8,xhigh,,,,,,,88.6,69.2,,,,74.6,,,,,,,,,,,,,,,,,,
Claude Opus 4.8,max,57.3,,2.03,28,74.3,49.4,88.6,69.2,,,,74.6,,,,,,,,,,,,,,,,,,
Claude Opus 5,low,52.5,78,0.43,14,66.9,42.1,96.0,79.2,89.5,59.4,68.8,,,,,,,,,,,,,,,,,,,
Claude Opus 5,medium,58.6,146,0.72,16,74.3,50.4,96.0,79.2,89.5,59.4,68.8,,,,,,,,53.4,,,,,,,,,,,
Claude Opus 5,high,61.5,246,1.23,30,76.5,56.1,96.0,79.2,89.5,59.4,68.8,,,,,,,,,,,,,,,,,,,
Claude Opus 5,xhigh,62.5,350,1.80,41,77.0,58.4,96.0,79.2,89.5,59.4,68.8,,,,,,,,,,,,,,,,,,,
Claude Opus 5,max,63.1,465,2.34,61,78.0,59.2,96.0,79.2,89.5,59.4,68.8,,,,,,,,,,,,,,,,,,,26.0
Claude Sonnet 4.5 [claude-sonnet-4-5-20250929],default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claude Sonnet 4.5 (latest),default,,,,,,,,43.6,,,,,,,,,,,,,,,,,,,,,,
Claude Sonnet 4.6,low,,,,,,,,,,,,67.0,,,,31.2,31.8,32.2,,,,,,,,,,,,
Claude Sonnet 4.6,medium,,,,,,,,14.9,,,,63.1,,,,70.3,31.8,32.2,,,,,,,,,,49.4,,
Claude Sonnet 4.6,high,,,,,,,,,,,,67.0,,,,31.2,31.8,32.2,,,,,,,,,,,,
Claude Sonnet 4.6,max,,,,,,,,,,,,67.0,,,,31.2,31.8,32.2,,,,,,,,,,,,
Claude Sonnet 5,low,,,,11,,,85.2,63.2,78.3,,,80.4,,,,,,,38.8,,,,,,,,,,,
Claude Sonnet 5,medium,,,,11,,,85.2,63.2,78.3,,,80.4,,,,,,,38.8,,,,,,,,,,,
Claude Sonnet 5,high,,,,16,,,85.2,63.2,78.3,,,80.4,,,,,,,38.8,,,,,,,,,,,
Claude Sonnet 5,xhigh,,,,45,,,85.2,63.2,78.3,,,80.4,,,,,,,38.8,,,,,,,,,,,
Claude Sonnet 5,max,55.3,620,1.72,203,71.5,49.7,85.2,63.2,78.3,,,80.4,,,,,,,38.8,,,,,,,,,,,
chatgpt-image-latest,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-4.1,default,19.6,,,6,,,,,,,,,,52.4,,,,,,,,,,,,,,,,
GPT-4.1 mini,default,14.8,,0.06,8,20.2,1.8,,,,,,,,32.4,,,,,,,,,,,,,,,,
GPT-4o,default,,,,,,,,,,,,,,23.1,,,,,,,,,,,,,,,,
GPT-4o (2024-08-06) [gpt-4o-2024-08-06],default,,,,,,,,,,,,,8.3,23.1,33.1,,,,,,,,,,,,16.6,,,
GPT-4o (2024-11-20) [gpt-4o-2024-11-20],default,,,,,,,,,,,,,8.3,18.2,33.3,,,,,,,,,,,,16.7,,,
GPT-4o mini,default,6.7,,,7,11.4,1.0,,,,,,,,3.6,22.9,,,,,,,,,,,,,,,
GPT-5,minimal,17.3,,,9,,,,41.8,,,,,,88.0,,,,,,,,,,,,,,,,
GPT-5,low,31.9,,,16,,,,41.8,,,,,,88.0,,,,,,,,,,,,,,,,
GPT-5,medium,34.6,,,39,,,,41.8,,,,,,88.0,,,,,,,,,,,,,,,,
GPT-5,high,35.3,,0.26,103,37.8,26.5,,41.8,,,,,,88.0,,,,,,,,,,,,,,,,
GPT-5.1,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-5.1,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-5.1,high,37.5,,0.30,53,49.4,21.6,,,,,,,,,,,,,,,,,,,,,,,,
GPT-5.1,default,37.5,,0.30,53,49.4,21.6,,,,,,,,,,,,,,,,,,,,,,,,
GPT-5.2,low,,,,,,,,29.9,,,,,,,,,,,,,,,,,,,,,,
GPT-5.2,medium,38.9,,,,,,,29.9,,,,,,,,,,,,,,,,,,,,,,
GPT-5.2,high,,,,,,,,29.9,,,,,,,,,,,,,,,,,,,,,,
GPT-5.2,xhigh,43.3,,,170,,,,29.9,,,,,,,,,,,,,,,,,,,,,,
GPT-5.2,default,,,,,,,,29.9,,,,,,,,,,,,,,,,,,,,,,
GPT-5.2 Chat,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-5.2 Pro,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-5.2 Pro,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-5.2 Pro,xhigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-5.3 Chat (latest),default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-5.3 Codex,low,,,,,,,,,,,,,,,,32.6,39.0,42.4,,,,,,,,,,,,
GPT-5.3 Codex,medium,,,,,,,,,,,,,,,,32.6,39.0,42.4,,,,,,,,,,,,
GPT-5.3 Codex,high,,,,,,,,,,,,,,,,32.6,39.0,42.4,,,,,,,,,,,,
GPT-5.3 Codex,xhigh,45.5,,,94,,,,,,,,,,,,32.6,39.0,42.4,,,,,,,,,,,,
GPT-5.3 Codex,default,45.5,,,94,,,,,,,,,,,,32.6,39.0,42.4,,,,,,,,,,,,
GPT-5.3 Codex Spark,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
